Filename,Status,Is_Correct,Mismatch_Rate,Blocks_Affected,Confidence,Error
Tp_D_CND_M_N_ani00018_sec00096_00138.tif,DETECTED,True,0.3379,767,0.9987,None
Tp_D_CND_M_N_art00076_art00077_10289.tif,DETECTED,True,0.3823,766,0.9974,None
Tp_D_CND_M_N_art00077_art00076_10290.tif,DETECTED,True,0.3952,768,1.0000,None
Tp_D_CND_S_N_ani00073_ani00068_00193.tif,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CND_S_N_ind00078_ind00077_00476.tif,DETECTED,True,0.3673,764,0.9948,None
Tp_D_CND_S_N_txt00028_txt00006_10848.jpg,DETECTED,True,0.4298,768,1.0000,None
Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,DETECTED,True,0.2710,758,0.9870,None
Tp_D_CNN_M_B_nat10139_nat00059_11949.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_M_B_nat10139_nat00097_11948.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,DETECTED,True,0.3159,767,0.9987,None
Tp_D_CNN_M_N_ani00052_ani00054_11130.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_M_N_ani00057_ani00055_11149.jpg,DETECTED,True,0.3542,768,1.0000,None
Tp_D_CNN_M_N_arc00086_arc00086_00306.tif,DETECTED,True,0.0763,310,0.4036,None
Tp_D_CNN_M_N_art00052_arc00030_11853.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_M_N_cha00026_cha00028_11784.jpg,DETECTED,True,0.3283,761,0.9909,None
Tp_D_CNN_M_N_ind00091_ind00091_10647.jpg,DETECTED,True,0.2476,584,0.7604,None
Tp_D_CNN_M_N_ind00091_ind00091_10648.jpg,DETECTED,True,0.2469,566,0.7370,None
Tp_D_CNN_M_N_nat00013_cha00042_11093.jpg,DETECTED,True,0.2710,757,0.9857,None
Tp_D_CNN_M_N_nat00041_nat10123_11439.jpg,DETECTED,True,0.2898,746,0.9714,None
Tp_D_CNN_M_N_nat00077_nat00077_10574.jpg,DETECTED,True,0.0617,182,0.2370,None
Tp_D_CNN_M_N_nat00089_nat00062_10577.jpg,DETECTED,True,0.3149,733,0.9544,None
Tp_D_CNN_M_N_nat00089_nat00089_10576.jpg,DETECTED,True,0.1756,460,0.5990,None
Tp_D_CNN_M_N_nat00090_nat00090_10575.jpg,DETECTED,True,0.1869,533,0.6940,None
Tp_D_CNN_M_N_nat10139_nat00095_11947.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_M_N_nat10156_ani00024_12016.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_M_N_pla00042_pla00042_10976.jpg,DETECTED,True,0.2540,576,0.7500,None
Tp_D_CNN_M_N_sec00011_cha00085_11227.jpg,DETECTED,True,0.4367,766,0.9974,None
Tp_D_CNN_M_N_sec10107_sec10101_10299.tif,DETECTED,True,0.3697,300,1.0000,None
Tp_D_CNN_M_N_sec10110_sec10101_10298.tif,DETECTED,True,0.3882,299,0.9967,None
Tp_D_CNN_M_N_txt00049_txt00050_10374.tif,DETECTED,True,0.4146,768,1.0000,None
Tp_D_CNN_M_N_txt00054_txt00050_10375.tif,DETECTED,True,0.4089,768,1.0000,None
Tp_D_CNN_M_N_txt10109_txt10110_10816.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_B_art10110_cha10110_11564.jpg,DETECTED,True,0.3697,768,1.0000,None
Tp_D_CNN_S_B_cha00025_cha00025_00345.tif,DETECTED,True,0.0850,180,0.2344,None
Tp_D_CNN_S_B_ind00018_ind00089_00007.tif,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_B_sec00023_sec00022_00044.tif,DETECTED,True,0.3593,767,0.9987,None
Tp_D_CNN_S_B_txt00055_txt00047_11328.jpg,DETECTED,True,0.4165,768,1.0000,None
Tp_D_CNN_S_N_ani00053_ani00051_11148.jpg,DETECTED,True,0.4077,768,1.0000,None
Tp_D_CNN_S_N_ani00087_ani00088_10102.tif,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_ani10198_ani10197_12407.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_arc00020_arc00020_00240.tif,DETECTED,True,0.0208,74,0.0964,None
Tp_D_CNN_S_N_art00001_ani00074_10442.tif,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_art00007_art00008_01197.tif,DETECTED,True,0.3054,764,0.9948,None
Tp_D_CNN_S_N_art00011_art00014_11841.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_art00096_cha00063_10305.tif,DETECTED,True,0.3485,766,0.9974,None
Tp_D_CNN_S_N_cha00044_cha00043_00364.tif,DETECTED,True,0.3569,767,0.9987,None
Tp_D_CNN_S_N_cha10122_nat00059_12169.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_cha10122_nat10124_12167.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_cha10122_nat10139_12166.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_cha10172_cha10171_12283.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_cha10194_cha10192_12323.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_ind00005_ind00014_00424.tif,DETECTED,True,0.3580,767,0.9987,None
Tp_D_CNN_S_N_nat00035_nat00035_00649.tif,DETECTED,True,0.0172,47,0.0612,None
Tp_D_CNN_S_N_nat00060_nat00060_00667.tif,DETECTED,True,0.0141,52,0.0677,None
Tp_D_CNN_S_N_nat00094_nat00067_10612.jpg,DETECTED,True,0.0000,0,1.0000,None
Tp_D_CNN_S_N_nat00095_ani00017_10219.tif,DETECTED,True,0.2029,740,0.9635,None
Tp_D_CNN_S_N_nat10156_ani00097_12022.jpg,DETECTED,True,0.0000,0,1.0000,None
